"year","price","transmission","mileage","tax","mpg","engineSize"
"2020","25879","Semi-Auto","1000","145","53.3","1.3"
"2019","53999","Semi-Auto","3835","145","52.3","3.0"
"2020","25729","Semi-Auto","1000","145","53.3","1.3"
"2019","24699","Semi-Auto","1583","145","44.8","1.3"
"2018","60799","Semi-Auto","1563","145","26.4","4.0"
"2019","35499","Semi-Auto","1023","145","44.1","1.5"
"2019","35099","Semi-Auto","2339","145","45.6","2.0"
"2019","55599","Semi-Auto","1594","145","32.8","2.9"
"2019","57799","Semi-Auto","1706","145","32.5","2.9"
"2019","31899","Semi-Auto","1733","145","64.2","2.0"
"2019","35299","Semi-Auto","100","145","55.4","2.0"
"2019","32399","Semi-Auto","2008","145","46.3","1.5"
"2019","29699","Semi-Auto","1906","145","47.1","1.5"
"2019","34899","Semi-Auto","4772","145","70.6","2.0"
"2019","33399","Semi-Auto","2582","145","45.6","2.0"
"2019","42399","Semi-Auto","2293","145","32.9","2.0"
"2019","66699","Semi-Auto","630","145","28.5","4.0"
"2019","56499","Semi-Auto","74","145","31.7","3.0"
"2019","50299","Semi-Auto","1000","145","32.5","3.0"
"2019","32599","Semi-Auto","33","145","47.1","2.0"
"2019","34299","Semi-Auto","1224","145","42.2","2.1"
"2019","31609","Semi-Auto","1000","145","64.2","2.0"
"2019","22699","Semi-Auto","7337","145","44.1","1.6"
"2019","45799","Semi-Auto","164","145","31.4","2.0"
"2018","59899","Semi-Auto","89","145","30.1","4.0"
"2019","32919","Semi-Auto","1000","145","44.8","2.0"
"2019","24669","Semi-Auto","1000","145","65.7","1.5"
"2019","31779","Semi-Auto","1000","145","54.3","1.6"
"2017","20749","Semi-Auto","30123","145","61.4","2.0"
"2018","24499","Semi-Auto","5500","145","67.3","1.5"
"2019","22899","Semi-Auto","405","145","56.5","2.0"
"2019","54999","Semi-Auto","369","145","52.3","3.0"
"2019","24099","Semi-Auto","4297","145","53.3","1.3"
"2019","25799","Semi-Auto","1000","145","45.6","1.5"
"2019","23399","Semi-Auto","3342","145","44.1","1.5"
"2019","25099","Semi-Auto","4215","145","28.5","2.0"
"2019","26099","Semi-Auto","5280","145","51.4","2.2"
"2019","32199","Semi-Auto","2985","145","44.1","1.5"
"2019","30599","Semi-Auto","4272","145","44.1","2.0"
"2019","54999","Automatic","2255","145","52.3","3.0"
"2019","25899","Semi-Auto","6765","145","45.6","1.5"
"2019","26099","Semi-Auto","6155","145","56.5","2.1"
"2019","42599","Semi-Auto","1000","145","42.8","3.0"
"2019","24999","Semi-Auto","5738","145","53.3","1.3"
"2019","29699","Semi-Auto","5230","145","61.4","2.0"
"2019","29899","Semi-Auto","8447","145","57.7","2.0"
"2019","25699","Semi-Auto","13044","145","61.4","2.0"
"2017","19199","Semi-Auto","49364","145","72.4","2.0"
"2018","23199","Semi-Auto","8762","145","53.3","1.3"
"2018","28499","Semi-Auto","7661","145","54.3","2.0"
"2019","24399","Semi-Auto","5310","145","53.3","1.3"
"2018","21999","Semi-Auto","17231","145","67.3","2.1"
"2019","22199","Semi-Auto","24279","145","45.6","1.3"
"2019","34499","Semi-Auto","1825","145","70.6","2.0"
"2018","34799","Automatic","212","145","36.2","3.0"
"2019","42599","Automatic","1000","145","42.8","3.0"
"2019","43519","Automatic","1000","145","29.7","3.0"
"2019","32069","Automatic","1000","145","64.2","2.0"
"2019","30759","Automatic","1000","145","53.3","2.0"
"2019","38899","Automatic","6828","135","188.3","2.0"
"2019","25899","Automatic","6664","145","55.4","2.0"
"2019","25299","Automatic","7775","145","56.5","2.0"
"2019","90759","Semi-Auto","1000","145","34.0","4.0"
"2019","22399","Semi-Auto","12124","145","45.6","1.3"
"2019","22899","Semi-Auto","14959","145","61.4","2.0"
"2019","38899","Semi-Auto","6785","145","48.7","2.9"
"2018","20899","Semi-Auto","3200","145","53.3","1.3"
"2019","31249","Semi-Auto","9379","145","70.6","2.0"
"2018","30699","Semi-Auto","6704","145","56.5","2.1"
"2019","29299","Semi-Auto","5979","145","44.1","2.0"
"2019","24399","Semi-Auto","1831","145","58.9","2.1"
"2019","44099","Semi-Auto","7500","145","40.4","2.0"
"2019","30899","Semi-Auto","7942","145","57.7","2.0"
"2016","20299","Semi-Auto","6605","125","51.4","2.0"
"2019","23999","Semi-Auto","2645","145","55.4","2.0"
"2019","71199","Semi-Auto","958","145","30.1","4.0"
"2019","58799","Automatic","183","145","29.7","3.0"
"2019","62199","Semi-Auto","95","145","28.5","4.0"
"2019","22599","Semi-Auto","2314","145","62.8","1.5"
"2019","26199","Semi-Auto","5690","145","55.4","2.0"
"2019","34099","Semi-Auto","4811","145","57.7","2.0"
"2019","33699","Semi-Auto","1604","145","42.2","2.0"
"2019","36999","Semi-Auto","6105","135","134.5","2.0"
"2019","30799","Automatic","4210","145","47.1","2.0"
"2019","27299","Automatic","2584","145","58.9","1.6"
"2019","31199","Automatic","4842","145","46.3","1.5"
"2019","49899","Automatic","1279","145","36.7","3.0"
"2019","32399","Automatic","5415","145","42.2","2.0"
"2019","26099","Automatic","5802","145","51.4","2.2"
"2019","38289","Semi-Auto","1000","145","54.3","2.0"
"2019","33719","Automatic","1000","145","61.4","2.0"
"2019","40999","Automatic","1000","135","188.3","2.0"
"2019","24699","Semi-Auto","6783","145","44.1","1.5"
"2020","29490","Automatic","3329","145","67.3","1.5"
"2020","29490","Semi-Auto","4850","145","67.3","1.5"
"2019","27499","Semi-Auto","1499","145","38.2","2.0"
"2018","22549","Semi-Auto","19656","145","61.4","2.0"
"2019","26399","Semi-Auto","15333","145","72.4","2.0"
"2019","24299","Semi-Auto","12321","145","58.9","2.0"
"2019","23299","Semi-Auto","15375","145","67.3","2.1"
"2019","21599","Semi-Auto","9085","145","53.3","1.3"
"2019","29099","Semi-Auto","10560","145","58.9","2.0"
"2019","35149","Semi-Auto","7630","145","48.7","3.0"
"2019","23799","Semi-Auto","12836","145","67.3","2.1"
"2018","27449","Automatic","7322","145","57.7","2.0"
"2018","22599","Semi-Auto","8297","145","53.3","1.3"
"2019","20899","Automatic","11587","145","53.3","1.3"
"2019","31899","Semi-Auto","9853","145","41.5","2.1"
"2019","43999","Automatic","6632","145","32.8","3.0"
"2019","24299","Automatic","5098","145","44.1","1.5"
"2019","25899","Automatic","5647","145","56.5","2.1"
"2019","21299","Automatic","1759","145","65.7","1.5"
"2019","23199","Automatic","3380","145","56.5","2.0"
"2019","49990","Semi-Auto","5401","145","32.8","3.0"
"2019","38990","Semi-Auto","6769","145","40.9","2.0"
"2019","39790","Semi-Auto","5218","145","40.9","2.0"
"2019","25799","Automatic","7562","145","55.4","2.0"
"2019","29790","Semi-Auto","2425","145","47.9","2.0"
"2019","26014","Semi-Auto","2891","145","53.3","1.3"
"2019","25777","Semi-Auto","7200","145","56.5","2.0"
"2019","52700","Semi-Auto","2343","145","32.8","3.0"
"2019","44490","Semi-Auto","6295","145","36.7","2.0"
"2019","25185","Semi-Auto","8294","145","53.3","1.3"
"2017","14990","Manual","12500","150","51.4","1.6"
"2018","18500","Semi-Auto","35121","150","68.9","2.1"
"2019","27588","Semi-Auto","6190","150","44.8","1.6"
"2017","24000","Semi-Auto","24035","165","43.5","2.0"
"2019","30000","Semi-Auto","8750","145","57.7","2.0"
"2017","17490","Semi-Auto","8645","125","51.4","1.6"
"2019","54000","Semi-Auto","5648","145","31.7","3.0"
"2019","52000","Automatic","5072","145","34.5","4.0"
"2019","24890","Semi-Auto","7301","145","56.5","2.0"
"2020","25729","Semi-Auto","1000","145","53.3","1.3"
"2020","25729","Semi-Auto","1000","145","53.3","1.3"
"2016","15999","Manual","19022","20","68.9","1.5"
"2017","28999","Semi-Auto","28478","150","56.5","2.1"
"2019","38799","Automatic","1666","145","32.8","2.0"
"2019","36199","Semi-Auto","9800","145","30.4","3.0"
"2019","24749","Automatic","15210","145","72.4","2.0"
"2019","19499","Semi-Auto","10440","145","68.9","1.5"
"2019","23199","Automatic","5100","145","67.3","2.1"
"2019","26099","Semi-Auto","6305","145","72.4","2.0"
"2019","28470","Semi-Auto","2000","145","65.7","2.0"
"2019","23000","Semi-Auto","14627","145","46.3","1.5"
"2019","37500","Semi-Auto","2609","145","48.7","2.9"
"2019","48745","Semi-Auto","9742","145","31.4","4.7"
"2019","34290","Semi-Auto","5595","145","44.8","2.0"
"2018","26000","Semi-Auto","19800","145","42.2","2.0"
"2019","21250","Semi-Auto","13545","150","45.6","1.3"
"2017","25490","Semi-Auto","9714","30","65.7","2.1"
"2019","26490","Semi-Auto","12984","150","53.3","1.3"
"2019","22000","Semi-Auto","6686","145","67.3","1.5"
"2019","25290","Semi-Auto","14265","145","51.4","2.2"
"2017","17890","Semi-Auto","26514","145","61.4","2.1"
"2019","48000","Semi-Auto","3746","145","36.7","2.0"
"2019","38000","Semi-Auto","99","145","32.1","2.0"
"2019","29427","Semi-Auto","3085","145","44.1","2.0"
"2019","48599","Semi-Auto","1000","145","45.6","3.0"
"2019","26699","Semi-Auto","998","145","53.3","1.3"
"2019","33799","Semi-Auto","2014","145","57.7","2.0"
"2019","29499","Semi-Auto","1710","145","39.8","2.0"
"2016","24862","Semi-Auto","49499","200","47.9","2.1"
"2019","38399","Automatic","5493","145","48.7","3.0"
"2019","30499","Semi-Auto","1488","145","61.4","2.0"
"2019","33099","Semi-Auto","5260","145","70.6","2.0"
"2019","28589","Automatic","7621","145","57.7","2.0"
"2014","10950","Automatic","55404","145","56.5","2.0"
"2019","29900","Semi-Auto","14605","150","58.9","2.0"
"2019","23500","Semi-Auto","10617","150","53.3","1.3"
"2019","25900","Semi-Auto","9625","150","47.1","1.5"
"2017","31000","Semi-Auto","24325","150","40.9","2.0"
"2017","16000","Manual","14255","145","50.4","1.6"
"2019","51290","Automatic","6235","145","32.8","3.0"
"2017","19290","Semi-Auto","25500","150","67.3","2.0"
"2019","21290","Semi-Auto","8783","150","53.3","1.3"
"2019","24000","Semi-Auto","4899","150","53.3","1.3"
"2019","22000","Semi-Auto","15174","145","67.3","2.1"
"2019","29350","Semi-Auto","4452","145","47.1","2.0"
"2019","49990","Semi-Auto","5794","145","32.8","3.0"
"2019","29000","Semi-Auto","9809","145","57.7","2.0"
"2019","30200","Semi-Auto","4589","145","64.2","2.0"
"2019","30132","Semi-Auto","7165","145","57.7","2.0"
"2019","36390","Semi-Auto","10955","145","40.9","2.0"
"2019","36490","Semi-Auto","6668","145","40.9","2.0"
"2019","36490","Semi-Auto","7011","145","40.9","2.0"
"2018","28790","Semi-Auto","13534","145","57.7","2.0"
"2019","27690","Semi-Auto","8070","145","44.1","2.0"
"2020","33800","Semi-Auto","2406","145","47.1","1.5"
"2020","27790","Semi-Auto","2460","145","35.8","1.6"
"2020","29990","Semi-Auto","99","145","64.2","2.0"
"2018","24790","Semi-Auto","16151","145","58.9","2.0"
"2020","33990","Semi-Auto","99","145","48.7","2.0"
"2020","26500","Semi-Auto","3143","145","53.3","1.3"
"2020","26400","Semi-Auto","2249","145","53.3","1.3"
"2019","36490","Semi-Auto","5223","145","40.9","2.0"
"2015","15991","Semi-Auto","35000","125","60.1","2.1"
"2017","20392","Semi-Auto","4597","125","52.3","1.6"
"2014","16872","Semi-Auto","23435","160","47.9","3.0"
"2017","14990","Semi-Auto","76982","0","134.5","2.0"
"2019","20500","Manual","3242","145","40.9","1.6"
"2019","31499","Semi-Auto","6618","145","54.3","2.0"
"2019","29799","Automatic","6012","145","46.3","1.5"
"2019","29399","Semi-Auto","8545","145","61.4","2.0"
"2018","22949","Automatic","10577","145","46.3","1.5"
"2019","43199","Automatic","12704","145","40.4","2.0"
"2018","31199","Semi-Auto","11673","145","56.5","2.1"
"2016","20890","Semi-Auto","25726","20","68.9","2.1"
"2019","31490","Semi-Auto","3270","145","44.8","2.0"
"2019","31490","Semi-Auto","6294","145","44.8","2.0"
"2019","26799","Semi-Auto","4422","145","38.2","2.0"
"2019","26799","Semi-Auto","4276","145","38.2","2.0"
"2014","16799","Semi-Auto","21000","145","55.4","2.1"
"2019","42729","Semi-Auto","1709","135","188.3","2.0"
"2019","32069","Semi-Auto","1000","145","64.2","2.0"
"2017","22299","Semi-Auto","19725","145","65.7","2.0"
"2019","22889","Semi-Auto","1552","145","55.4","2.0"
"2019","30599","Semi-Auto","4504","145","44.1","2.0"
"2019","28799","Semi-Auto","5136","145","60.1","1.6"
"2019","39499","Semi-Auto","1000","145","57.7","2.0"
"2019","32299","Semi-Auto","1000","145","47.1","2.0"
"2015","32249","Automatic","7864","325","31.7","4.7"
"2019","52779","Semi-Auto","1000","145","32.8","3.0"
"2019","57399","Semi-Auto","894","145","31.4","4.7"
"2019","22699","Semi-Auto","2046","145","56.5","2.0"
"2019","25899","Semi-Auto","1413","145","65.7","1.5"
"2019","22499","Semi-Auto","3273","145","56.5","2.0"
"2019","30599","Semi-Auto","1905","145","47.9","2.0"
"2014","16349","Semi-Auto","27266","125","51.4","1.6"
"2018","50799","Semi-Auto","1462","145","31.7","3.0"
"2019","27349","Semi-Auto","5917","145","64.2","2.0"
"2019","22999","Semi-Auto","13452","145","67.3","2.1"
"2019","37199","Semi-Auto","5359","145","48.7","3.0"
"2019","29549","Semi-Auto","5071","145","55.4","2.0"
"2019","47789","Semi-Auto","2702","145","36.7","3.0"
"2019","29999","Semi-Auto","7193","145","44.1","2.0"
"2019","29399","Semi-Auto","8123","145","57.7","2.0"
"2018","25999","Automatic","7317","145","46.3","1.5"
"2018","25949","Semi-Auto","11961","145","65.7","2.1"
"2019","35949","Semi-Auto","6995","145","48.7","3.0"
"2019","26899","Semi-Auto","2000","145","45.6","1.5"
"2019","30399","Semi-Auto","7163","145","54.3","2.0"
"2019","26399","Semi-Auto","3553","145","47.9","2.0"
"2016","22799","Semi-Auto","21330","30","65.7","2.0"
"2019","48099","Semi-Auto","3312","145","36.7","2.0"
"2019","26099","Semi-Auto","3550","145","51.4","2.2"
"2019","24799","Semi-Auto","200","145","44.1","1.6"
"2019","21999","Semi-Auto","4025","145","65.7","1.5"
"2019","26599","Semi-Auto","935","145","55.4","2.0"
"2019","24699","Semi-Auto","4040","145","46.3","1.5"
"2017","67699","Semi-Auto","15400","145","28.0","5.5"
"2017","16899","Semi-Auto","11750","145","53.3","1.6"
"2017","15999","Semi-Auto","34301","20","65.7","2.1"
"2019","30099","Semi-Auto","2924","145","56.5","2.0"
"2019","49699","Semi-Auto","3151","145","36.7","3.0"
"2019","23999","Semi-Auto","2067","145","55.4","2.0"
"2019","30299","Semi-Auto","4284","145","55.4","2.0"
"2019","25299","Semi-Auto","4004","145","44.1","1.5"
"2019","49499","Semi-Auto","4180","145","36.7","3.0"
"2019","30099","Semi-Auto","4701","145","54.3","1.6"
"2019","32429","Semi-Auto","1000","145","57.7","2.0"
"2019","29299","Semi-Auto","3004","145","40.9","2.0"
"2019","34999","Semi-Auto","3174","145","45.6","2.0"
"2019","54599","Semi-Auto","5961","145","52.3","3.0"
"2019","55199","Semi-Auto","3029","145","32.8","3.0"
"2019","33599","Semi-Auto","2679","145","57.7","2.0"
"2019","74199","Semi-Auto","1000","145","26.4","4.0"
"2019","33599","Semi-Auto","1000","145","44.1","2.0"
"2019","31999","Semi-Auto","1000","145","61.4","2.0"
"2017","75089","Semi-Auto","5226","145","30.4","4.0"
"2019","25599","Semi-Auto","2648","145","44.1","1.5"
"2019","27299","Semi-Auto","3174","145","38.2","2.0"
"2019","27299","Semi-Auto","3225","145","38.2","2.0"
"2019","26599","Semi-Auto","12961","145","47.1","1.5"
"2019","24999","Semi-Auto","13302","145","72.4","2.0"
"2019","28099","Semi-Auto","20001","145","61.4","2.0"
"2019","24599","Semi-Auto","9905","145","58.9","2.0"
"2019","22899","Semi-Auto","15618","145","67.3","2.1"
"2019","48399","Semi-Auto","8921","145","35.8","2.0"
"2019","24899","Semi-Auto","13474","145","72.4","2.0"
"2014","14299","Semi-Auto","47399","20","64.2","2.1"
"2019","28699","Semi-Auto","13217","145","58.9","2.0"
"2019","25389","Semi-Auto","2000","145","45.6","1.5"
"2019","25389","Semi-Auto","2000","145","45.6","1.5"
"2018","26399","Semi-Auto","4507","145","56.5","2.1"
"2018","20899","Semi-Auto","3166","145","53.3","1.3"
"2019","24389","Semi-Auto","2000","145","44.1","1.5"
"2019","37999","Semi-Auto","4366","145","48.7","3.0"
"2019","26899","Semi-Auto","2000","145","45.6","1.5"
"2019","49299","Semi-Auto","670","145","36.7","3.0"
"2019","25639","Semi-Auto","1892","145","56.5","2.0"
"2019","24519","Semi-Auto","2486","145","56.5","2.0"
"2019","24999","Semi-Auto","1160","145","64.2","2.1"
"2019","43649","Semi-Auto","2396","135","176.6","2.0"
"2016","15599","Automatic","36210","125","58.9","2.1"
"2015","17399","Semi-Auto","21019","20","64.2","2.1"
"2017","40899","Semi-Auto","16000","145","39.2","3.0"
"2017","24999","Semi-Auto","21210","145","65.7","2.1"
"2019","22699","Semi-Auto","13021","145","45.6","1.3"
"2019","28299","Semi-Auto","2000","145","39.8","2.0"
"2019","29399","Semi-Auto","7224","145","61.4","2.0"
"2017","20199","Semi-Auto","19075","145","72.4","2.0"
"2019","32049","Semi-Auto","2365","145","57.7","2.0"
"2018","23149","Semi-Auto","17000","145","61.4","2.1"
"2019","21299","Semi-Auto","6604","145","53.3","1.3"
"2019","22199","Semi-Auto","12980","145","45.6","1.3"
"2019","28999","Semi-Auto","4938","145","61.4","2.0"
"2019","24749","Semi-Auto","15181","145","72.4","2.0"
"2019","20999","Semi-Auto","9883","145","61.4","2.0"
"2018","18899","Semi-Auto","13924","145","46.3","1.5"
"2017","18699","Semi-Auto","40703","20","72.4","2.0"
"2016","20049","Semi-Auto","27868","145","54.3","3.0"
"2019","23979","Semi-Auto","5425","145","55.4","2.0"
"2019","26999","Semi-Auto","2315","145","56.5","2.0"
"2019","56499","Semi-Auto","484","145","31.7","3.0"
"2019","34579","Semi-Auto","1000","145","44.1","1.5"
"2019","25149","Semi-Auto","3890","145","56.5","2.0"
"2019","24519","Semi-Auto","2882","145","56.5","2.0"
"2016","18799","Semi-Auto","18950","125","56.5","2.1"
"2015","17199","Semi-Auto","42700","125","55.4","2.1"
"2017","24299","Semi-Auto","18701","145","54.3","3.0"
"2018","16299","Manual","6364","145","49.6","1.6"
"2017","30599","Semi-Auto","23732","145","47.9","2.1"
"2020","47459","Semi-Auto","1000","145","26.4","3.0"
"2016","13000","Automatic","53065","20","65.7","2.1"
"2015","22986","Semi-Auto","43434","260","42.8","3.0"
"2019","20888","Semi-Auto","14725","145","45.6","2.0"
"2017","21149","Semi-Auto","29146","145","65.7","2.0"
"2019","24449","Semi-Auto","10420","145","50.4","1.6"
"2017","16249","Semi-Auto","3951","145","74.3","1.5"
"2019","25349","Semi-Auto","9687","145","46.3","1.5"
"2019","30149","Semi-Auto","10903","145","56.5","2.1"
"2018","25749","Semi-Auto","1624","145","61.4","2.0"
"2019","41099","Semi-Auto","8370","145","29.4","3.0"
"2019","30749","Semi-Auto","2000","145","44.1","2.0"
"2019","26299","Semi-Auto","11347","145","51.4","2.2"
"2019","26149","Semi-Auto","12757","145","51.4","2.2"
"2016","12699","Manual","45252","30","65.7","2.1"
"2019","22969","Semi-Auto","3486","145","56.5","2.0"
"2019","26099","Semi-Auto","5433","145","45.6","1.5"
"2017","57999","Semi-Auto","8420","145","28.0","5.5"
"2014","15999","Semi-Auto","33487","145","55.4","2.1"
"2018","23599","Semi-Auto","1850","145","53.3","1.3"
"2019","36500","Semi-Auto","5000","135","188.3","2.0"
"2019","34500","Semi-Auto","4000","145","44.8","2.0"
"2019","26100","Semi-Auto","4000","145","28.5","2.0"
"2019","46500","Semi-Auto","8148","145","36.7","2.0"
"2019","41000","Semi-Auto","5339","145","28.8","3.0"
"2019","31450","Semi-Auto","5104","145","57.7","2.0"
"2019","25300","Semi-Auto","2662","145","44.8","1.3"
"2019","36800","Semi-Auto","6112","145","40.9","2.0"
"2019","40000","Semi-Auto","3860","145","40.9","2.0"
"2020","25879","Semi-Auto","1000","145","53.3","1.3"
"2018","25299","Semi-Auto","13440","145","64.2","2.0"
"2018","31994","Semi-Auto","19339","145","45.6","3.0"
"2018","39000","Semi-Auto","7011","150","29.1","3.0"
"2016","17500","Semi-Auto","41758","0","134.5","2.0"
"2016","19999","Semi-Auto","27663","30","65.7","2.0"
"2020","22559","Manual","1000","145","28.5","1.3"
"2019","37189","Semi-Auto","4500","145","40.9","2.0"
"2019","23979","Semi-Auto","1000","145","55.4","2.0"
"2017","13849","Manual","33770","20","72.4","1.5"
"2019","43499","Semi-Auto","12346","145","47.9","2.9"
"2019","19899","Semi-Auto","13633","145","46.3","1.5"
"2019","19849","Semi-Auto","14017","145","46.3","1.5"
"2019","21099","Semi-Auto","4535","145","46.3","1.5"
"2019","25399","Semi-Auto","10260","145","44.1","1.5"
"2019","26599","Semi-Auto","8912","145","61.4","2.0"
"2019","25449","Semi-Auto","13280","145","47.1","1.5"
"2020","25600","Semi-Auto","4000","145","44.8","1.3"
"2020","26000","Semi-Auto","4000","145","53.3","1.3"
"2019","25000","Semi-Auto","481","145","45.6","1.5"
"2019","36000","Semi-Auto","6462","145","40.9","2.0"
"2019","37000","Semi-Auto","5529","145","40.9","2.0"
"2019","29000","Semi-Auto","2198","145","47.1","1.5"
"2019","25699","Semi-Auto","11793","145","47.1","1.5"
"2019","22699","Semi-Auto","14342","145","67.3","2.1"
"2019","21549","Semi-Auto","14387","145","45.6","1.3"
"2019","24749","Semi-Auto","14242","145","72.4","2.0"
"2019","20149","Manual","9203","145","28.5","1.3"
"2019","20299","Semi-Auto","14271","145","46.3","1.5"
"2019","29949","Semi-Auto","8208","145","57.7","2.0"
"2019","20449","Semi-Auto","13181","145","46.3","1.5"
"2019","25549","Semi-Auto","14995","145","61.4","2.0"
"2019","35000","Semi-Auto","5383","145","44.8","2.0"
"2019","36000","Semi-Auto","8000","145","40.9","2.0"
"2019","31500","Semi-Auto","7000","145","57.7","2.0"
"2019","27500","Semi-Auto","4000","145","37.7","2.0"
"2019","40000","Semi-Auto","4000","145","40.9","2.0"
"2019","47390","Semi-Auto","9500","145","36.7","2.0"
"2019","49000","Semi-Auto","9722","145","32.1","3.0"
"2016","17400","Semi-Auto","39979","20","65.7","2.1"
"2019","26000","Semi-Auto","6878","150","47.1","1.5"
"2019","50700","Semi-Auto","6000","145","32.8","3.0"
"2017","24000","Automatic","17030","125","58.9","2.1"
"2014","16450","Semi-Auto","27032","30","64.2","2.1"
"2017","19750","Semi-Auto","27959","150","41.5","2.0"
"2019","68000","Semi-Auto","8697","145","31.7","3.0"
"2020","24729","Semi-Auto","1000","145","67.3","1.5"
"2018","15999","Semi-Auto","41650","145","65.7","2.1"
"2019","25599","Semi-Auto","13624","145","46.3","1.5"
"2019","24600","Semi-Auto","9174","145","45.6","1.5"
"2019","25500","Semi-Auto","13663","145","51.4","2.2"
"2019","24700","Semi-Auto","12944","145","61.4","2.0"
"2018","32750","Semi-Auto","12431","145","56.5","2.1"
"2019","18949","Semi-Auto","16222","145","68.9","1.5"
"2019","23500","Semi-Auto","7261","150","53.3","1.3"
"2019","33700","Semi-Auto","12542","145","40.4","2.0"
"2019","28300","Semi-Auto","6519","145","44.1","2.0"
"2019","28000","Semi-Auto","11549","145","44.1","2.0"
"2019","28800","Semi-Auto","3116","145","44.1","2.0"
"2019","29000","Semi-Auto","4650","145","44.1","2.0"
"2020","25000","Semi-Auto","4000","145","62.8","1.5"
"2020","26000","Manual","4000","145","44.1","1.3"
"2020","25000","Semi-Auto","4000","145","53.3","1.3"
"2020","26000","Semi-Auto","4000","145","55.4","2.0"
"2018","20000","Semi-Auto","7575","145","65.7","1.5"
"2016","21600","Semi-Auto","33028","30","65.7","2.1"
"2019","23500","Semi-Auto","2500","145","56.5","2.0"
"2019","42000","Semi-Auto","1502","145","47.1","3.0"
"2019","27750","Semi-Auto","2192","145","46.3","1.5"
"2019","29999","Semi-Auto","13109","145","57.7","2.0"
"2019","45699","Semi-Auto","3418","145","47.9","2.9"
"2019","30299","Semi-Auto","2230","145","61.4","2.0"
"2017","23499","Semi-Auto","40659","145","65.7","2.0"
"2020","25879","Semi-Auto","1000","145","53.3","1.3"
"2020","25879","Semi-Auto","1000","145","53.3","1.3"
"2020","25879","Semi-Auto","1000","145","53.3","1.3"
"2018","22000","Semi-Auto","11439","145","46.3","1.5"
"2019","20000","Semi-Auto","13330","145","45.6","1.3"
"2019","24500","Semi-Auto","2827","145","45.6","1.5"
"2016","22000","Semi-Auto","17223","200","43.5","2.0"
"2018","41000","Semi-Auto","4267","145","36.7","3.0"
"2019","30300","Semi-Auto","4000","145","54.3","1.6"
"2019","26400","Semi-Auto","4000","145","35.8","1.6"
"2019","20349","Semi-Auto","13910","145","46.3","1.5"
"2019","25949","Semi-Auto","12722","145","61.4","2.0"
"2019","25499","Semi-Auto","15414","145","61.4","2.0"
"2019","25799","Semi-Auto","10996","145","47.1","1.5"
"2019","20999","Semi-Auto","6234","145","53.3","1.3"
"2019","32249","Semi-Auto","5943","145","42.2","2.1"
"2019","26499","Semi-Auto","9613","145","51.4","2.2"
"2019","28499","Semi-Auto","15096","145","64.2","2.0"
"2019","19099","Semi-Auto","14708","145","68.9","1.5"
"2019","23700","Semi-Auto","3114","145","53.3","1.3"
"2018","15000","Manual","18600","145","49.6","1.6"
"2019","31500","Semi-Auto","9327","145","44.8","2.0"
"2019","56000","Semi-Auto","7704","145","29.5","3.0"
"2017","19350","Semi-Auto","35707","30","61.4","2.1"
"2019","30000","Semi-Auto","16478","150","58.9","2.0"
"2019","28000","Semi-Auto","14665","150","65.7","2.0"
"2016","17000","Semi-Auto","24369","20","68.9","2.1"
"2019","23000","Semi-Auto","5563","150","67.3","1.5"
"2019","24000","Semi-Auto","7366","150","53.3","1.3"
"2019","24059","Semi-Auto","1000","145","65.7","1.5"
"2019","23879","Manual","1000","145","47.1","1.6"
"2019","23879","Manual","1000","145","47.1","1.6"
"2019","23499","Manual","712","145","47.1","1.6"
"2018","58099","Semi-Auto","2984","145","48.7","3.0"
"2019","29199","Semi-Auto","4456","145","47.1","1.5"
"2019","22899","Manual","4387","145","47.1","1.6"
"2019","23299","Manual","1617","145","47.1","1.6"
"2019","29199","Semi-Auto","1357","145","46.3","1.5"
"2019","34299","Semi-Auto","3938","145","55.4","2.0"
"2019","25399","Manual","486","145","47.1","1.3"
"2019","66599","Semi-Auto","2104","145","22.4","4.0"
"2019","31899","Semi-Auto","4300","145","46.3","1.5"
"2019","45199","Semi-Auto","7635","145","30.4","3.0"
"2019","46199","Semi-Auto","6288","145","32.1","3.0"
"2019","26699","Semi-Auto","3034","145","44.8","1.3"
"2019","43099","Semi-Auto","1000","145","46.3","3.0"
"2019","24599","Semi-Auto","2162","145","67.3","1.5"
"2019","29399","Semi-Auto","2492","145","39.8","2.0"
"2019","33599","Semi-Auto","1000","145","44.1","2.0"
"2016","15899","Semi-Auto","34995","20","68.9","2.1"
"2019","19599","Semi-Auto","12067","145","68.9","1.5"
"2019","35899","Semi-Auto","5393","145","42.8","2.0"
"2019","49549","Semi-Auto","11452","145","35.8","2.0"
"2019","25199","Semi-Auto","9900","145","72.4","2.0"
"2019","47899","Semi-Auto","4977","145","47.9","2.9"
"2016","29189","Semi-Auto","20000","260","36.2","3.0"
"2019","31399","Semi-Auto","2351","145","35.3","2.0"
"2019","60859","Semi-Auto","1000","145","28.5","4.0"
"2019","25469","Semi-Auto","1000","145","28.5","2.0"
"2019","69399","Semi-Auto","1615","145","28.0","4.0"
"2019","33499","Semi-Auto","6165","145","44.8","2.0"
"2019","37399","Semi-Auto","3682","145","57.7","2.0"
"2019","66099","Semi-Auto","2918","145","27.4","4.0"
"2019","24999","Semi-Auto","1000","145","56.5","2.0"
"2019","25699","Semi-Auto","3089","145","65.7","1.5"
